Comment,Designator,Footprint,LCSC,Quantity
RotaryEncoder_Switch,SW11,encoder,C143788,1
10k,"R1,R2",R_1206_3216Metric,C17902,2
0.1uF,"C1,C10,C11,C12,C13,C14,C15,C16,C2,C3,C4,C5,C6,C7,C8,C9",C_1206_3216Metric,C24497,16
SK6812,"D23,D24,D25,D26,D27,D28",LED_SK6812MINI_PLCC4_3.5x3.5mm_P1.75mm,C2886570,6
D,"D1,D10,D11,D12,D2,D3,D4,D5,D6,D7,D8,D9",D_SOD-123,C81598,12
PCF8574A,U1,SOIC127P1032X265-16N,C86832,1
SW_Push_45deg,SW4,SW_Kailh_Choc_V2,,1
SW_Push_45deg,SW10,SW_Kailh_Choc_V2,,1
SW_Push_45deg,SW1,SW_Kailh_Choc_V2,,1
OLED_DISPLAY,J1,SSD1306-0.91-OLED-4pin-128x32,,1
RotaryEncoder_Switch,SW12,encoder,,1
SW_Push_45deg,SW6,SW_Kailh_Choc_V2,,1
SW_Push_45deg,SW2,SW_Kailh_Choc_V2,,1
SW_Push_45deg,SW7,SW_Kailh_Choc_V2,,1
SW_Push_45deg,SW5,SW_Kailh_Choc_V2,,1
SW_Push_45deg,SW8,SW_Kailh_Choc_V2,,1
Conn_01x04,J2,4pin,,1
SW_Push_45deg,SW3,SW_Kailh_Choc_V2,,1
SW_Push_45deg,SW9,SW_Kailh_Choc_V2,,1
SK6812,D19,SK6812MINI-E,,1
SK6812,D21,SK6812MINI-E,,1
SK6812,D16,SK6812MINI-E,,1
SK6812,D20,SK6812MINI-E,,1
SK6812,D18,SK6812MINI-E,,1
SK6812,D14,SK6812MINI-E,,1
SK6812,D13,SK6812MINI-E,,1
SK6812,D17,SK6812MINI-E,,1
SK6812,D15,SK6812MINI-E,,1
MOUDLE-SEEEDUINO-XIAO,U2,XIAO-Generic-Hybrid-14P-2.54-21X17.8MM,,1
SK6812,D22,SK6812MINI-E,,1
