Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",0402,2,15p,
"C10, C8",0402,2,1u,
"C11, C12, C13, C14, C15, C16, C5, C6, C7, C9",0402,10,100n,
"C23, C24",0805,2,10uF,
C25,0805,1,100nF,
"C3, C4",0805,2,10u,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D61, D63, D67, D7, D71, D72, D8, D9",Diode_DO-35,61,Diode,
D34,1206,1,SD1206T020S1R0,
"J1, J2, J4, J5",USB_C_Receptacle_HRO_TYPE-C-31-M-12,4,USB_C_Receptacle_USB2.0,
"R1, R2",0805,2,5.1K,
"R14, R15, R16, R17, R18, R19",0805,6,56K,
"R3, R5",0402,2,1k,
R4,0402,1,DNF,
"R6, R7",0402,2,27,
S1,MX_PCB_1.00u,1,esc,
S10,MX_PCB_1.00u,1,3,
S11,MX_PCB_1.00u,1,e,
S12,MX_PCB_1.00u,1,d,
S13,MX_PCB_1.00u,1,4,
S14,MX_PCB_1.00u,1,r,
S15,MX_PCB_1.00u,1,f,
S16,MX_PCB_1.00u,1,5,
S17,MX_PCB_1.00u,1,t,
S18,MX_PCB_1.00u,1,g,
S19,MX_PCB_1.00u,1,6,
S2,MX_PCB_1.00u,1,1,
S20,MX_PCB_1.00u,1,y,
S21,MX_PCB_1.00u,1,h,
S22,MX_PCB_1.00u,1,7,
S23,MX_PCB_1.00u,1,u,
S24,MX_PCB_1.00u,1,j,
S25,MX_PCB_1.00u,1,8,
S26,MX_PCB_1.00u,1,i,
S27,MX_PCB_1.00u,1,k,
S28,MX_PCB_1.00u,1,9,
S29,MX_PCB_1.00u,1,o,
S3,MX_PCB_1.00u,1,2,
S30,MX_PCB_1.00u,1,l,
S31,MX_PCB_1.00u,1,0,
S32,MX_PCB_1.00u,1,p,
S33,MX_PCB_1.00u,1,;,
S37,MX_PCB_1.00u,1,-,
S38,MX_PCB_1.00u,1,[,
S39,MX_PCB_1.00u,1,',
S4,MX_PCB_1.50u,1,tab,
S40,MX_PCB_1.00u,1,=,
S41,MX_PCB_1.00u,1,],
S42,MX_PCB_2.25u,1,enter,
S43,MX_PCB_2.00u,1,shift,
S44,MX_PCB_1.25u,1,ctrl,
S45,MX_PCB_1.00u,1,z,
S46,MX_PCB_1.25u,1,windows,
S47,MX_PCB_1.00u,1,x,
S48,MX_PCB_1.25u,1,alt,
S49,MX_PCB_1.00u,1,c,
S5,MX_PCB_1.00u,1,q,
S50,MX_PCB_6.25u,1,space,
S51,MX_PCB_1.00u,1,v,
S52,MX_PCB_1.25u,1,altright,
S53,MX_PCB_1.00u,1,b,
S54,MX_PCB_1.25u,1,windowsright,
S55,MX_PCB_1.00u,1,n,
S56,MX_PCB_1.00u,1,page,
S57,MX_PCB_1.00u,1,m,
S58,MX_PCB_1.25u,1,ctrlright,
S59,MX_PCB_1.00u,1,",",
S6,MX_PCB_1.00u,1,w,
S61,MX_PCB_1.00u,1,.,
S63,MX_PCB_1.00u,1,/,
S67,MX_PCB_2.75u,1,shiftright,
S7,MX_PCB_1.50u,1,caps,
S71,MX_PCB_1.75u,1,backspace,
S72,MX_PCB_1.25u,1,\,
S8,MX_PCB_1.00u,1,a,
S9,MX_PCB_1.00u,1,s,
SW1,SW_Push_1P1T_NO_Vertical_Wuerth_434133025816,1,SW_Push,
U1,SOIC-16_4.55x10.3mm_P1.27mm,1,SL2.1A,
U2,SOT-223-3_TabPin2,1,NCP1117-3.3_SOT223,
U3,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,
U4,RP2040-QFN-56,1,RP2040,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,ABM8-272-T3,
